"Código","DEPARTAMENTO","Provincia","PROVINCIA_LIMPIA","%_Paredes_Ladrillo","%_Techos_Concreto","%_Pisos_Materiales","%_Pisos_Buenos","indice_aritmetico","INDICE_ALGEBRAICO","DEPARTAMENTO_FALLECIMIENTO","RATIO","Region","FUERZA POPULAR","PARTIDO POLITICO NACIONAL PERU LIBRE","ratio_keiko_castillo"
"101","AMAZONAS","Amazonas, provincia: Chachapoyas","CHACHAPOYAS",17.370137326046,10.3890139163184,59.0777568548202,40.9222431451798,22.8937981291814,0.037033263184208,"AMAZONAS",1.080597015,"AMAZONAS",0.4006,0.5994,0.668335001668335
"102","AMAZONAS","Amazonas, provincia: Bagua","BAGUA",18.6131533485999,8.78630830420634,75.7221485677554,24.2778514322446,17.2257710283503,-0.321703617238133,"AMAZONAS",1.971590909,"AMAZONAS",0.2931,0.7069,0.414627245720753
"103","AMAZONAS","Amazonas, provincia: Bongara","BONGARA",14.6221248630887,6.3161737860533,65.1332603139832,34.8667396860168,18.6016794450529,-0.405821727164488,"AMAZONAS",0.9420289855,"AMAZONAS",0.3835,0.6165,0.6220600162206
"104","AMAZONAS","Amazonas, provincia: Condorcanqui","CONDORCANQUI",2.35971456373662,0.454103146286085,78.6084982160234,21.3915017839766,8.06843983133311,-1.45604996809885,"AMAZONAS",2.461538462,"AMAZONAS",0.0935,0.9065,0.103143960286817
"105","AMAZONAS","Amazonas, provincia: Luya","LUYA",2.37766104506497,1.03400608238872,70.2626486038153,29.7373513961847,11.0496728412128,-1.26346368201956,"AMAZONAS",1.5,"AMAZONAS",0.3834,0.6166,0.621796951021732
"106","AMAZONAS","Amazonas, provincia: Rodríguez de Mendoza","RODRIGUEZ DE MENDOZA",12.8544109087886,3.99102020453979,71.7801613037333,28.2198386962667,15.0217566031984,-0.727701884242227,"AMAZONAS",1.176470588,"AMAZONAS",0.408,0.592,0.689189189189189
"107","AMAZONAS","Amazonas, provincia: Utcubamba","UTCUBAMBA",12.0390179299104,6.6091075794621,74.3963936430318,25.6036063569682,14.7505772887802,-0.668090142878228,"AMAZONAS",1.521582734,"AMAZONAS",0.3447,0.6553,0.526018617427133
"201","ANCASH","Áncash, provincia: Huaraz","HUARAZ",33.0863854815483,29.4081926540243,58.9621250238562,41.0378749761438,34.5108177039055,1.67480322051201,"ANCASH",1.472336066,"ANCASH",0.3615,0.6385,0.566170712607674
"202","ANCASH","Áncash, provincia: Aija","AIJA",0.4516711833785,0.2710027100271,58.325805480277,41.674194519723,14.1322894710429,-1.14953977392987,"ANCASH",0.9565217391,"ANCASH",0.378,0.622,0.607717041800643
"203","ANCASH","Áncash, provincia: Antonio Raymondi","ANTONIO RAIMONDI",1.48750191688391,0.444717067934366,57.8132188314676,42.1867811685324,14.7063333844502,-1.0902331757743,"ANCASH",1.20754717,"ANCASH",0.1348,0.8652,0.155802126675913
"204","ANCASH","Áncash, provincia: Asunción","ASUNCION",5.66684238270954,2.00316288877175,59.4359515023722,40.5640484976278,16.0780179230364,-0.875609322075589,"ANCASH",0.6021505376,"ANCASH",0.2243,0.7757,0.28915817970865
"205","ANCASH","Áncash, provincia: Bolognesi","BOLOGNESI",4.36470283791943,2.25135857845251,57.9056327093936,42.0943672906064,16.2368095689928,-0.883114768236326,"ANCASH",1.127659574,"ANCASH",0.3418,0.6582,0.519295047098146
"206","ANCASH","Áncash, provincia: Carhuaz","CARHUAZ",10.7574649946578,8.67682618230895,70.781083056852,29.218916943148,16.2177360400382,-0.536365809181017,"ANCASH",1.166666667,"ANCASH",0.3138,0.6862,0.457301078402798
"207","ANCASH","Áncash, provincia: Carlos Fermín Fitzcarrald","CARLOS FERMIN FITZCARRALD",1.28838049367851,0.746538229981939,62.2636965683323,37.7363034316677,13.257074051776,-1.16724127400092,"ANCASH",1.406779661,"ANCASH",0.208,0.792,0.262626262626263
"208","ANCASH","Áncash, provincia: Casma","CASMA",24.8385098663835,12.7599327493142,59.7071055658791,40.2928944341209,25.9637790166062,0.441867809850659,"ANCASH",2.20610687,"ANCASH",0.5785,0.4215,1.37247924080664
"209","ANCASH","Áncash, provincia: Corongo","CORONGO",1.39068564036222,0.614489003880983,65.3622250970246,34.6377749029754,12.2143165157396,-1.23002929168087,"ANCASH",1.136363636,"ANCASH",0.4018,0.5982,0.671681711802073
"210","ANCASH","Áncash, provincia: Huari","HUARI",4.08564468567033,2.63686482328305,65.0882516346852,34.9117483653148,13.8780859580894,-1.01125239276033,"ANCASH",0.9113475177,"ANCASH",0.1975,0.8025,0.246105919003115
"211","ANCASH","Áncash, provincia: Huarmey","HUARMEY",35.064427957829,19.9219055056619,63.9828192112456,36.0171807887544,30.3345047507484,1.1420943802129,"ANCASH",1.065693431,"ANCASH",0.5477,0.4523,1.21092195445501
"212","ANCASH","Áncash, provincia: Huaylas","HUAYLAS",11.1947963026361,8.68098009487944,66.8215386120213,33.1784613879787,17.6847459284981,-0.443055717431483,"ANCASH",1.316964286,"ANCASH",0.5147,0.4853,1.06058108386565
"213","ANCASH","Áncash, provincia: Mariscal Luzuriaga","MARISCAL LUZURIAGA",0.354099811884475,0.165984286820848,65.0879716720151,34.9120283279849,11.8107041422301,-1.28907711106749,"ANCASH",1.031578947,"ANCASH",0.1626,0.8374,0.194172438500119
"214","ANCASH","Áncash, provincia: Ocros","OCROS",3.09340881520421,0.889607763849575,51.2131014961585,48.7868985038415,17.5899716942984,-0.877115852391659,"ANCASH",2,"ANCASH",0.5129,0.4871,1.05296653664545
